timestamp,city,state,station,latitude,longitude,pm25,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,wind_direction,pressure,rainfall,aqi,aqi_category,dominant_pollutant,hour,day,dayofweek,month,year,is_weekend,season,hour_sin,hour_cos,month_sin,month_cos,ventilation_index,hum_temp_ratio,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm10_lag_1,pm10_lag_2,pm10_lag_3,pm10_lag_6,pm10_lag_12,pm10_lag_24,no2_lag_1,no2_lag_2,no2_lag_3,no2_lag_6,no2_lag_12,no2_lag_24,pm25_rolling_mean_3,pm25_rolling_min_3,pm25_rolling_max_3,pm25_rolling_std_3,pm25_rolling_mean_6,pm25_rolling_min_6,pm25_rolling_max_6,pm25_rolling_std_6,pm25_rolling_mean_12,pm25_rolling_min_12,pm25_rolling_max_12,pm25_rolling_std_12,pm25_rolling_mean_24,pm25_rolling_min_24,pm25_rolling_max_24,pm25_rolling_std_24
2026-06-27 14:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,64.66,103.63,29.56,9.7,0.86,53.97,34.23,47.38,6.19,124,1009.7,0.0,114,Moderate,PM25,14,27,5,6,2026,1,2,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,211.8837,1.344876525688334,64.13,66.85,66.65,65.5,62.09,101.71,92.86,103.29,115.49,109.3,102.07,164.47,78.45,79.73,60.18,83.57,53.81,49.6,65.87666666666667,64.13,66.85,1.515959542115808,66.02166666666666,64.13,67.49,1.2123764541868958,64.705,62.09,67.49,1.7078135942564658,71.97333333333333,62.0,101.71,12.104169481652992
2026-06-27 15:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,63.7,113.19,72.4,12.37,2.33,57.68,34.22,44.02,11.16,180,1010.8,0.0,110,Moderate,PM25,15,27,5,6,2026,1,2,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,381.8952,1.2498580352072688,64.66,64.13,66.85,65.51,62.75,97.21,103.63,92.86,103.29,97.74,100.41,160.55,29.56,78.45,79.73,47.37,52.54,64.12,65.21333333333332,64.13,66.85,1.4419546918443524,65.88166666666667,64.13,67.49,1.32768093556652,64.91916666666667,62.75,67.49,1.4983715908419835,70.42958333333333,62.0,97.21,10.387640431391722
2026-06-27 16:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,64.89,104.67,63.29,11.81,1.07,56.04,34.35,49.55,9.15,344,1012.0,0.0,195,Moderate,CO,16,27,5,6,2026,1,2,-0.8660254037844384,-0.5000000000000004,1.2246467991473532e-16,-1.0,314.3025,1.4016973125884016,63.7,64.66,64.13,67.49,64.16,93.19,113.19,103.63,92.86,110.77,108.19,154.88,72.4,29.56,78.45,40.23,51.27,79.53,64.16333333333334,63.7,64.66,0.4808672720532336,65.58,63.7,67.49,1.6055653210007095,64.99833333333333,63.08,67.49,1.3948661280393275,69.03333333333333,62.0,93.19,8.755318714764263
2026-06-27 17:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,62.85,95.87,56.38,11.76,2.58,46.55,35.87,54.21,10.19,297,1012.7,0.0,107,Moderate,PM25,17,27,5,6,2026,1,2,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,365.51529999999997,1.4703010577705453,64.89,63.7,64.66,66.65,64.3,89.76,104.67,113.19,103.63,115.49,103.47,139.05,63.29,72.4,29.56,60.18,60.21,50.76,64.41666666666667,63.7,64.89,0.6312157581460749,65.14666666666666,63.7,66.85,1.3107656795425964,65.05916666666667,63.08,67.49,1.3706896627300658,67.85416666666667,62.0,89.76,7.111934804725541
2026-06-27 18:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,62.72,93.64,24.8,28.97,0.87,29.86,25.57,59.5,9.81,0,1008.1,0.0,107,Moderate,PM25,18,27,5,6,2026,1,2,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,250.8417,2.239367707941287,62.85,64.89,63.7,66.85,63.08,84.77,95.87,104.67,113.19,103.29,109.99,129.27,56.38,63.29,72.4,79.73,67.99,43.94,63.81333333333333,62.85,64.89,1.0247113414673952,64.51333333333334,62.85,66.85,1.3563578682142579,64.93833333333333,62.85,67.49,1.5013801731214957,66.73291666666667,62.0,84.77,5.430727775046958
2026-06-27 19:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,59.54,96.81,46.51,13.72,2.17,23.04,26.66,58.01,11.69,154,1009.2,11.8,102,Moderate,CO,19,27,5,6,2026,1,2,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0,311.6554,2.0972523499638465,62.72,62.85,64.89,64.13,63.95,77.56,93.64,95.87,104.67,92.86,104.72,122.51,24.8,56.38,63.29,78.45,67.62,75.16,63.48666666666667,62.72,64.89,1.2170592973770433,63.824999999999996,62.72,64.89,0.9068351559131448,64.90833333333333,62.72,67.49,1.544855588033618,65.81416666666668,62.0,77.56,3.8944954650809467
2026-06-27 20:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,57.23,95.95,72.08,25.1,1.6,0.24,26.23,66.75,9.2,236,1013.9,0.0,96,Satisfactory,PM10,20,27,5,6,2026,1,2,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,241.31599999999997,2.4513404333455746,59.54,62.72,62.85,64.66,65.5,74.32,96.81,93.64,95.87,103.63,109.3,117.31,46.51,24.8,56.38,29.56,83.57,86.85,61.70333333333334,59.54,62.85,1.8746288521549643,63.06,59.54,64.89,1.942606496437186,64.54083333333334,59.54,67.49,2.185329009277045,65.06333333333333,59.54,74.32,3.208099351528127
2026-06-27 21:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,55.49,92.2,41.25,22.19,1.66,0.0,26.99,76.25,9.18,89,1008.9,0.0,92,Satisfactory,PM25,21,27,5,6,2026,1,2,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,247.76819999999998,2.7241872097177566,57.23,59.54,62.72,63.7,65.51,72.59,95.95,96.81,93.64,113.19,97.74,113.17,72.08,46.51,24.8,72.4,47.37,48.79,59.830000000000005,57.23,62.72,2.7564651276586893,61.821666666666665,57.23,64.89,2.8669385529980462,63.85166666666666,57.23,67.49,3.0054672404358778,64.35125000000001,57.23,72.59,2.9504565785211905
2026-06-27 22:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,54.92,91.85,31.38,24.71,1.31,2.57,24.98,77.89,9.27,23,1008.3,0.0,92,Satisfactory,PM10,22,27,5,6,2026,1,2,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,231.56459999999998,2.998075442648191,55.49,57.23,59.54,64.89,67.49,67.72,92.2,95.95,96.81,104.67,110.77,98.4,41.25,72.08,46.51,63.29,40.23,28.61,57.419999999999995,55.49,59.54,2.031674186477331,60.45333333333334,55.49,64.89,3.6448465902787186,63.01666666666666,55.49,67.49,3.7918796809961455,63.63875000000001,55.49,67.72,2.9390952652577833
2026-06-27 23:18:43,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.6139,77.209,55.0,87.98,35.96,12.03,0.88,1.62,19.04,89.7,5.68,291,1012.3,0.0,92,Satisfactory,PM25,23,27,5,6,2026,1,2,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,108.14719999999998,4.476047904191617,54.92,55.49,57.23,62.85,66.65,65.86,91.85,92.2,95.95,95.87,115.49,117.99,31.38,41.25,72.08,56.38,60.18,42.46,55.879999999999995,54.92,57.23,1.203370267207178,58.791666666666664,54.92,62.85,3.4868749141123865,61.969166666666666,54.92,66.85,4.161949845343098,63.10541666666666,54.92,67.49,3.3048962085480413
